pessoa feliz;predict_arvore;proba_arvore;predict_naive;proba_naive;predict_reg;proba_reg
1;1;0.7777777777777778;0;8.579697129590492e-18;1;0.965139005515178
1;1;0.8461538461538461;0;2.4202476200220007e-19;1;0.8077028538454822
1;1;0.8571428571428571;0;3.2805976518334406e-10;1;0.9999917106735023
1;1;0.8571428571428571;0;8.082139536815717e-12;1;0.9994510586128917
1;1;1.0;1;1.0;1;0.9897124126781754
1;1;1.0;0;3.797471765008447e-17;1;0.9001799296619541
1;1;1.0;0;3.06516669565876e-19;1;0.9390599322733143
1;0;0.5;0;7.157581636489497e-20;1;0.7861139311395847
1;1;0.8571428571428571;0;1.2570383938120372e-17;1;0.8548449545274053
1;0;0.5;0;1.8067856597370697e-17;0;0.3963354626100389
1;1;1.0;0;3.2711606419829412e-12;1;0.9995577886785825
1;1;1.0;0;6.102190899156254e-37;1;0.6218603881730527
1;1;0.8461538461538461;1;1.0;1;0.9942389283933318
1;1;1.0;0;7.116136131490664e-12;1;0.9774343499493728
1;1;0.9;0;3.000655193518013e-18;1;0.8836627983783154
1;1;1.0;1;1.0;1;0.999840264860105
1;1;0.875;0;3.919527969803513e-18;1;0.7454095753816345
0;0;0.2857142857142857;0;2.1582721511366964e-20;0;0.21742755929872432
0;0;0.3333333333333333;0;1.0847836722653193e-17;1;0.985218736714717
0;1;0.9;0;0.0;0;0.043549806253262276
1;1;1.0;0;7.551130793601744e-18;1;0.833744504212454
1;1;1.0;1;1.0;1;0.9977149760111149
1;1;0.9;0;2.9939085674655073e-16;1;0.9628629163639073
0;0;0.3333333333333333;0;1.1857334372838315e-17;1;0.7411259147904049
1;1;0.7777777777777778;1;1.0;1;0.9919227205862595
1;1;0.6666666666666666;0;5.263977572097275e-19;1;0.6353285262878394
0;0;0.3333333333333333;0;5.396326145621524e-18;1;0.8016904178973654
1;1;1.0;0;1.4185861547534591e-12;1;0.995521538428861
1;1;0.8461538461538461;1;1.0;1;0.9981170842417285
0;1;0.8461538461538461;0;2.6508350892410065e-19;1;0.6203094430539997
1;1;0.7777777777777778;0;1.8347292718319832e-20;1;0.5611035155703546
1;1;0.8461538461538461;1;1.0;1;0.9953890492999921
1;1;0.7777777777777778;1;1.0;1;0.932867540001323
0;0;0.5;0;2.1784594924285247e-24;0;0.31859200649033215
1;1;1.0;0;1.4991627633221899e-12;1;0.9868972828274291
0;1;0.5714285714285714;0;2.796661557524933e-18;1;0.6337457626606708
1;1;1.0;0;2.0454017979823863e-10;1;0.9989356796640686
1;1;0.7777777777777778;0;1.2954058461987031e-27;1;0.8237613112331268
1;1;1.0;0;8.641368305553138e-17;1;0.9565809391575841
1;1;0.8571428571428571;0;6.669538541481252e-06;1;0.9999431364285779
0;0;0.3333333333333333;0;4.9384886361934225e-20;1;0.5181453070455968
1;1;1.0;0;1.5141701458157912e-12;1;0.9977768233109803
0;0;0.5;0;1.413977799905219e-19;0;0.2912333918542966
0;1;0.6666666666666666;0;1.0697362477648855e-18;1;0.5435919830335791
1;1;0.9;1;1.0;1;0.8965159202686764
1;1;1.0;0;2.186997539580216e-20;1;0.7941174158437644
1;1;1.0;0;8.37282310684772e-09;1;0.9996256926749659
0;1;0.875;0;4.027251568785077e-16;1;0.7362799407459137
1;1;1.0;0;5.171547061508311e-10;1;0.9997189389515287
1;1;0.8571428571428571;0;1.2570383938120372e-17;1;0.8548449545274053
0;0;0.5;0;2.3586670759565533e-28;0;0.31449698659371866
1;1;0.8461538461538461;0;5.771376059050815e-20;1;0.7076945823879225
0;0;0.2857142857142857;0;3.5804244851335283e-20;1;0.5714811932179686
1;1;0.8571428571428571;0;1.6228945721439496e-15;1;0.880849400830405
1;1;0.9;1;1.0;1;0.9922822811854578
1;1;0.9;0;1.475378309921778e-17;1;0.7335264128340823
1;0;0.2857142857142857;0;8.339803775841062e-20;0;0.29316011385892154
0;1;0.9;0;6.3336068962596044e-18;1;0.70251890233813
1;1;0.9;1;1.0;1;0.9978560155960206
0;1;0.8571428571428571;0;6.50055207540062e-20;0;0.46019577992811084
1;1;0.9;0;1.0324568065247283e-17;1;0.9231978023800266
1;1;0.8461538461538461;1;1.0;1;0.989395741465003
1;1;1.0;1;1.0;1;0.9999705800332467
1;1;0.8461538461538461;0;1.0019140727424402e-19;1;0.6154192746519227
1;0;0.5;0;2.484552500050905e-16;1;0.9080086096976724
1;1;1.0;0;6.277340070637196e-16;1;0.919697718814832
0;0;0.2857142857142857;0;3.868813657967529e-20;0;0.17847233751967811
1;1;0.9;0;2.2601572766959383e-20;1;0.8307580482041722
1;1;1.0;0;2.3770808165331678e-11;1;0.999985140245728
